PLANT;PURCH_ORD;PN;PURCH_ITEM;PURCH_ORD_QTY;PURCH_DELIV_DATE
71;22.306.276;D009045;22306276/6;9.500;08/01/24
71;22.306.278;D008779;22306278/1;69.650;12/01/24
71;22.306.278;D008779;22306278/2;69.650;15/05/24
71;22.306.278;D009044;22306278/5;9.000;09/01/24
71;22.306.329;D011255;22306329/2;150.000;08/03/24
71;22.306.330;D011256;22306330/2;150.000;06/03/24
71;22.306.331;D011297;22306331/4;87.000;12/01/24
71;22.306.428;D006941;22306428/2;11.500;10/01/24
71;22.306.429;D006432;22306429/3;20.550;09/01/24
71;22.306.429;D006938;22306429/4;11.700;16/01/24
71;22.306.435;D006939;22306435/3;12.000;18/01/24
71;22.306.436;D006433;22306436/1;20.500;09/01/24
71;22.306.448;E002706;22306448/1;400;18/01/24
71;22.306.571;D011068;22306571/2;135.000;04/01/24
71;22.306.576;D011069;22306576/2;22.000;19/01/24
71;22.306.665;E002211;22306665/1;96.000;21/02/24
71;22.306.787;E002539;22306787/1;20.000;30/01/24
71;22.306.837;D010380;22306837/1;206.200;02/02/24
71;22.306.841;D010378;22306841/1;185.500;15/02/24
71;22.306.850;F002122;22306850/1;275;12/01/24
71;22.307.098;E002283;22307098/4;151.200;06/03/24
71;22.307.098;E002283;22307098/3;151.200;16/01/24
71;22.307.104;E002292;22307104/6;180.000;08/04/24
71;22.307.104;E002238;22307104/3;105.600;16/01/24
71;22.307.104;E002292;22307104/7;180.000;15/03/24
71;22.307.104;E002238;22307104/1;105.600;19/04/24
71;22.307.104;E002292;22307104/5;180.000;16/01/24
71;22.307.230;E002413;22307230/1;31.360;12/01/24
71;22.307.252;E003618;22307252/1;500;12/01/24
71;22.307.430;D010490;22307430/2;52.000;16/01/24
71;22.307.430;D010490;22307430/1;52.000;16/01/24
71;22.307.460;E003055;22307460/1;39.680;12/01/24
71;22.307.469;F001568;22307469/1;500;09/01/24
71;22.307.533;D010045;22307533/3;110.000;14/02/24
71;22.307.536;D011496;22307536/1;10.500;18/01/24
71;22.307.553;D011497;22307553/1;10.500;12/01/24
71;22.307.598;D005293;22307598/3;2.000;16/02/24
71;22.307.615;E002205;22307615/2;309.504;15/01/24
71;22.307.615;E002207;22307615/4;489.732;17/05/24
71;22.307.615;E002207;22307615/1;209.664;26/01/24
71;22.307.615;E002207;22307615/3;309.504;22/03/24
71;22.307.618;D006421;22307618/2;50.000;22/01/24
71;22.307.618;D010868;22307618/6;13.500;09/02/24
71;22.307.618;D011096;22307618/7;30.000;09/02/24
71;22.307.628;D006772;22307628/3;15.000;16/01/24
71;22.307.630;D006773;22307630/3;15.000;15/01/24
71;22.307.630;D010046;22307630/6;107.000;15/02/24
71;22.307.630;D009444;22307630/5;20.000;10/10/24
71;22.307.639;D010866;22307639/4;15.000;12/02/24
71;22.307.639;D010199;22307639/2;29.000;09/01/24
71;22.307.642;D010200;22307642/1;28.500;08/01/24
71;22.307.642;D010867;22307642/6;15.000;12/02/24
71;22.307.642;D008364;22307642/5;10.000;01/02/24
71;22.307.710;F001134;22307710/2;275;25/01/24
71;22.307.715;E002273;22307715/3;72.000;30/10/24
71;22.307.730;D010877;22307730/5;47.250;15/01/24
71;22.307.731;D010876;22307731/1;31.500;15/01/24
71;22.307.731;D010878;22307731/2;15.750;15/01/24
71;22.307.770;E002335;22307770/1;96.000;02/02/24
71;22.307.916;E001792;22307916/1;2.000;15/01/24
71;22.307.971;E002273;22307971/2;72.000;14/06/24
71;22.307.973;D006715;22307973/3;73.000;12/01/24
71;22.307.974;D009067;22307974/7;19.500;17/01/24
71;22.307.974;D007473;22307974/8;40.000;11/01/24
71;22.307.976;D009068;22307976/4;18.500;15/01/24
71;22.307.976;D007474;22307976/5;40.000;10/01/24
71;22.307.976;D006716;22307976/3;73.000;12/01/24
71;22.307.986;E002221;22307986/1;500.000;07/02/24
71;22.308.055;E001828;22308055/1;1.000;28/01/24
71;22.308.058;E001861;22308058/1;16.500;11/01/24
71;22.308.059;E001399;22308059/1;30.000;23/02/24
71;22.308.142;E001862;22308142/1;16.500;27/02/24
71;22.308.196;E002293;22308196/1;20.000;22/01/24
71;22.308.200;D008665;22308200/1;360;31/12/24
71;22.308.202;D011548;22308202/1;16.100;05/03/24
71;22.308.203;D009128;22308203/3;22.000;08/01/24
71;22.308.205;D009127;22308205/3;5.000;09/01/24
71;22.308.205;D010016;22308205/4;16.500;09/01/24
71;22.308.207;F001977;22308207/1;3.000;09/01/24
71;22.308.208;F002358;22308208/2;200;17/01/24
71;22.308.208;F002355;22308208/1;90;17/01/24
71;22.308.212;E002273;22308212/3;72.000;04/03/24
71;22.308.247;E004269;22308247/1;50.000;10/01/24
71;22.308.251;D011144;22308251/1;6.000;06/03/24
71;22.308.252;D011066;22308252/2;130.000;15/01/24
71;22.308.253;D011067;22308253/2;127.000;11/01/24
71;22.308.286;D011049;22308286/4;62.500;26/01/24
71;22.308.303;D007645;22308303/2;40.000;05/03/24
71;22.308.304;D003381;22308304/1;3.000;05/02/24
71;22.308.305;D007647;22308305/1;35.000;06/03/24
71;22.308.311;D006560;22308311/1;118.000;22/01/24
71;22.308.311;D006561;22308311/2;30.000;22/01/24
71;22.308.311;D011286;22308311/4;50.000;02/02/24
71;22.308.311;D011260;22308311/3;15.500;02/02/24
71;22.308.312;D006562;22308312/1;152.000;22/01/24
71;22.308.312;D011261;22308312/2;63.000;01/02/24
71;22.308.313;E002273;22308313/1;144.000;08/03/24
71;22.308.316;F001637;22308316/3;226,8;31/12/24
71;22.308.316;F001065;22308316/1;1.678,32;09/02/24
71;22.308.318;D006932;22308318/2;1.000;08/01/24
71;22.308.333;D010936;22308333/1;6.000;09/02/24
71;22.308.333;D010948;22308333/2;6.000;06/02/24
71;22.308.333;D011742;22308333/3;2.750;11/03/24
71;22.308.333;D011741;22308333/4;2.750;11/03/24
71;22.308.361;E004465;22308361/4;1.080.000;20/05/24
71;22.308.364;F003276;22308364/1;2.000;15/01/24
71;22.308.390;E002284;22308390/1;30.000;22/01/24
71;22.308.393;D003300;22308393/1;150.000;10/01/24
71;22.308.394;E003493;22308394/1;58.320;15/01/24
71;22.308.402;D009947;22308402/3;55.000;16/01/24
71;22.308.425;D011552;22308425/2;21.000;24/01/24
71;22.308.426;D011551;22308426/1;21.000;22/01/24
71;22.308.427;D011069;22308427/1;20.000;15/01/24
71;22.308.440;F000006;22308440/1;22.000;15/01/24
71;22.308.440;F000006;22308440/2;22.000;10/09/24
71;22.308.462;F000110;22308462/1;450;10/01/24
71;22.308.478;D009593;22308478/3;10.000;09/01/24
71;22.308.480;D009594;22308480/3;10.500;08/01/24
71;22.308.481;E003970;22308481/3;800;29/01/24
71;22.308.484;D005377;22308484/2;19.750;10/01/24
71;22.308.485;D005375;22308485/3;19.750;09/01/24
71;22.308.510;F002163;22308510/1;2.000;09/01/24
71;22.308.523;E000227;22308523/1;3.000;15/01/24
71;22.308.524;E002211;22308524/1;96.000;02/02/24
71;22.308.524;E002211;22308524/2;96.000;12/02/24
71;22.308.525;E002284;22308525/1;50.000;06/02/24
71;22.308.525;E002284;22308525/2;60.000;20/02/24
71;22.308.539;F002728;22308539/1;14.000;23/02/24
71;22.308.544;E003048;22308544/2;1.500;30/01/24
71;22.308.546;E003369;22308546/1;1.200;15/02/24
71;22.308.548;D000323;22308548/2;34.000;31/12/24
71;22.308.550;D000920;22308550/1;2.800;11/01/24
71;22.308.625;D011094;22308625/2;34.000;15/02/24
71;22.308.648;F001956;22308648/1;250;29/01/24
71;22.308.652;F002408;22308652/1;1.800;15/01/24
71;22.308.666;D011044;22308666/1;20.600;24/04/24
71;22.308.666;D007332;22308666/3;47.000;08/02/24
71;22.308.666;D011354;22308666/6;60.000;12/01/24
71;22.308.666;D010886;22308666/5;25.000;01/02/24
71;22.308.666;D010059;22308666/4;61.800;08/02/24
71;22.308.668;D011045;22308668/1;21.000;06/05/24
71;22.308.671;D010885;22308671/2;21.000;01/02/24
71;22.308.672;D007109;22308672/1;30.000;17/01/24
71;22.308.672;D007331;22308672/2;20.500;09/02/24
71;22.308.672;D011355;22308672/5;60.300;09/01/24
71;22.308.672;D007337;22308672/3;26.000;09/02/24
71;22.308.672;D011360;22308672/6;8.500;22/01/24
71;22.308.682;F003194;22308682/1;3.000;15/01/24
71;22.308.691;E003535;22308691/1;500;12/01/24
71;22.308.694;D011546;22308694/2;13.500;02/01/24
71;22.308.695;D008807;22308695/6;13.500;10/01/24
71;22.308.695;D007110;22308695/7;28.000;15/01/24
71;22.308.696;D003657;22308696/1;11.500;08/01/24
71;22.308.717;F000876;22308717/1;50;17/01/24
71;22.308.723;E002273;22308723/1;108.000;14/06/24
71;22.308.724;E003493;22308724/1;58.320;15/01/24
71;22.308.756;D008806;22308756/1;13.500;11/01/24
71;22.308.768;F002029;22308768/2;5.800;09/02/24
71;22.308.777;D003300;22308777/1;200.000;31/01/24
71;22.308.778;D011095;22308778/3;32.400;22/02/24
71;22.308.824;F002021;22308824/1;2;11/01/24
71;22.308.825;F002668;22308825/1;50;17/01/24
71;22.308.826;F001977;22308826/1;1.500;26/02/24
71;22.308.853;F000180;22308853/2;450;02/02/24
71;22.308.854;F000212;22308854/1;400;17/01/24
71;22.308.856;F000841;22308856/2;480;12/01/24
71;22.308.857;F000923;22308857/2;500;10/01/24
71;22.308.862;F002366;22308862/1;2.000;11/01/24
71;22.308.868;E000131;22308868/1;2.000;05/02/24
71;22.308.875;D003011;22308875/2;1.000;10/01/24
71;22.308.875;D004520;22308875/1;16.000;31/12/24
71;22.308.900;D006457;22308900/3;8.500;26/01/24
71;22.308.904;D003291;22308904/3;200.000;16/02/24
71;22.308.904;D003291;22308904/2;200.000;24/01/24
71;22.308.905;D005875;22308905/2;44.000;24/01/24
71;22.308.905;D008670;22308905/4;44.000;10/01/24
71;22.308.907;D005874;22308907/2;44.000;23/01/24
71;22.308.907;D008669;22308907/4;44.000;11/01/24
71;22.308.910;D010460;22308910/3;105.000;29/01/24
71;22.308.910;D010460;22308910/4;105.000;09/02/24
71;22.308.933;F000098;22308933/1;875;10/01/24
71;22.308.937;F001134;22308937/1;525;25/01/24
71;22.308.941;F001712;22308941/1;16.000;14/03/24
71;22.308.942;F002029;22308942/1;5.800;26/01/24
71;22.308.943;F002163;22308943/1;2.000;08/02/24
71;22.308.946;F002632;22308946/1;125;12/01/24
71;22.308.950;F002578;22308950/1;200;19/01/24
71;22.308.952;E002776;22308952/1;160;12/01/24
71;22.308.970;E001966;22308970/1;40;07/02/24
71;22.308.974;D005383;22308974/2;45.500;12/02/24
71;22.308.976;E002121;22308976/1;12.000;15/01/24
71;22.308.976;E002144;22308976/2;11.400;15/01/24
71;22.308.979;D005381;22308979/1;45.500;12/02/24
71;22.309.013;F001789;22309013/3;14.000;29/04/24
71;22.309.013;F001789;22309013/2;14.000;29/04/24
71;22.309.013;F002728;22309013/4;14.000;07/05/24
71;22.309.016;F000571;22309016/1;80;10/01/24
71;22.309.023;D005990;22309023/3;18.500;07/02/24
71;22.309.025;D005160;22309025/2;25.000;05/01/24
71;22.309.026;D005121;22309026/2;103.000;03/01/24
71;22.309.027;D005993;22309027/2;18.500;08/02/24
71;22.309.030;E002171;22309030/2;22.500;08/02/24
71;22.309.030;E002170;22309030/1;20.160;08/02/24
71;22.309.031;D005123;22309031/1;105.000;09/02/24
71;22.309.038;D008525;22309038/5;103.000;12/01/24
71;22.309.039;D008526;22309039/3;104.000;10/01/24
71;22.309.039;D008149;22309039/1;24.000;08/01/24
71;22.309.051;D009676;22309051/1;9.000;03/01/24
71;22.309.059;D010069;22309059/3;13.500;15/01/24
71;22.309.060;D010070;22309060/3;14.000;12/01/24
71;22.309.061;D010895;22309061/1;12.500;10/01/24
71;22.309.067;D010952;22309067/4;40.000;08/02/24
71;22.309.069;D010951;22309069/2;41.200;08/02/24
71;22.309.071;F002240;22309071/1;260;09/01/24
71;22.309.072;B005028;22309072/2;1.266,968;02/04/24
71;22.309.076;F002161;22309076/1;150;15/01/24
71;22.309.100;D010855;22309100/2;19.000;12/01/24
71;22.309.100;D009652;22309100/3;30.000;10/01/24
71;22.309.101;D000905;22309101/2;700;21/02/24
71;22.309.101;D000335;22309101/1;15.000;31/12/24
71;22.309.102;E000642;22309102/1;2.000;18/01/24
71;22.309.104;D005164;22309104/1;23.000;12/02/24
71;22.309.104;D010854;22309104/2;8.000;11/01/24
71;22.309.104;D010856;22309104/3;10.000;11/01/24
71;22.309.105;D005166;22309105/1;22.000;15/02/24
71;22.309.109;D009653;22309109/3;13.500;10/01/24
71;22.309.109;D009651;22309109/2;17.300;10/01/24
71;22.309.146;E001897;22309146/1;3.000;15/02/24
71;22.309.151;F000120;22309151/1;21.000;15/01/24
71;22.309.163;D011129;22309163/1;21.000;08/01/24
71;22.309.164;D011130;22309164/1;21.000;08/01/24
71;22.309.165;E000093;22309165/1;2.000;11/03/24
71;22.309.175;B005240;22309175/1;118;08/03/24
71;22.309.175;B005240;22309175/2;118;08/03/24
71;22.309.176;F002926;22309176/1;150;10/01/24
71;22.309.188;D010885;22309188/2;31.500;06/02/24
71;22.309.189;D010886;22309189/2;31.500;09/02/24
71;22.309.191;D009251;22309191/1;2.150;10/01/24
71;22.309.197;B005770;22309197/22;65.000;14/06/24
71;22.309.197;B005770;22309197/16;65.000;05/04/24
71;22.309.197;B005770;22309197/23;65.000;14/06/24
71;22.309.197;B005770;22309197/11;65.000;19/01/24
71;22.309.197;B005770;22309197/19;65.000;10/05/24
71;22.309.197;B005770;22309197/13;65.000;05/04/24
71;22.309.197;B005770;22309197/24;65.000;14/06/24
71;22.309.197;B005770;22309197/12;65.000;19/01/24
71;22.309.197;B005770;22309197/14;65.000;05/04/24
71;22.309.197;B005770;22309197/21;65.000;14/06/24
71;22.309.197;B005770;22309197/15;65.000;05/04/24
71;22.309.197;B005770;22309197/10;65.000;19/01/24
71;22.309.197;B005770;22309197/18;65.000;10/05/24
71;22.309.197;B005770;22309197/9;65.000;19/01/24
71;22.309.197;B005770;22309197/17;65.000;10/05/24
71;22.309.197;B005770;22309197/20;65.000;10/05/24
71;22.309.198;B005771;22309198/23;65.000;05/07/24
71;22.309.198;B005771;22309198/14;65.000;10/05/24
71;22.309.198;B005771;22309198/13;65.000;10/05/24
71;22.309.198;B005771;22309198/8;65.000;29/01/24
71;22.309.198;B005771;22309198/9;65.000;26/02/24
71;22.309.198;B005771;22309198/20;65.000;07/06/24
71;22.309.198;B005771;22309198/11;65.000;26/02/24
71;22.309.198;B005771;22309198/16;65.000;10/05/24
71;22.309.198;B005771;22309198/21;65.000;05/07/24
71;22.309.198;B005771;22309198/15;65.000;10/05/24
71;22.309.198;B005771;22309198/24;65.000;05/07/24
71;22.309.198;B005771;22309198/6;65.000;29/01/24
71;22.309.198;B005771;22309198/12;65.000;26/02/24
71;22.309.198;B005771;22309198/22;65.000;05/07/24
71;22.309.198;B005771;22309198/19;65.000;07/06/24
71;22.309.198;B005771;22309198/10;65.000;26/02/24
71;22.309.198;B005771;22309198/18;65.000;07/06/24
71;22.309.198;B005771;22309198/5;65.000;29/01/24
71;22.309.198;B005771;22309198/7;65.000;29/01/24
71;22.309.198;B005771;22309198/17;65.000;07/06/24
71;22.309.200;E004166;22309200/3;1.100;29/01/24
71;22.309.202;E004333;22309202/1;200;07/02/24
71;22.309.202;E004334;22309202/2;200;07/02/24
71;22.309.240;F002413;22309240/2;25;22/01/24
71;22.309.291;E003649;22309291/1;1.400;26/01/24
71;22.309.292;E003676;22309292/1;200;24/01/24
71;22.309.293;F000090;22309293/1;10.000;09/01/24
71;22.309.296;D009125;22309296/1;26.700;15/01/24
71;22.309.296;D009194;22309296/2;7.800;16/01/24
71;22.309.297;D009195;22309297/2;9.200;18/01/24
71;22.309.297;D009126;22309297/1;27.000;12/01/24
71;22.309.300;D009221;22309300/2;4.500;05/02/24
71;22.309.300;D009219;22309300/1;2.500;15/01/24
71;22.309.301;F001615;22309301/1;14.000;15/03/24
71;22.309.305;F003744;22309305/1;1.000;24/01/24
71;22.309.309;F002029;22309309/1;5.800;12/02/24
71;22.309.309;F002029;22309309/2;5.800;23/02/24
71;22.309.319;F001035;22309319/2;300;15/03/24
71;22.309.319;F001035;22309319/1;300;22/01/24
71;22.309.323;F002632;22309323/1;100;17/01/24
71;22.309.325;F002717;22309325/1;200;26/01/24
71;22.309.326;F002728;22309326/1;14.000;27/03/24
71;22.309.330;F003586;22309330/1;25;05/02/24
71;22.309.350;D005289;22309350/2;32.000;09/02/24
71;22.309.351;E001792;22309351/1;2.000;02/02/24
71;22.309.352;E002170;22309352/1;20.160;01/03/24
71;22.309.352;E002171;22309352/2;20.700;01/03/24
71;22.309.353;E002231;22309353/2;31.104;09/01/24
71;22.309.354;E002303;22309354/1;15.000;24/01/24
71;22.309.356;D003131;22309356/1;20.600;02/02/24
71;22.309.356;D011547;22309356/5;38.500;15/02/24
71;22.309.356;D003756;22309356/2;226.500;05/01/24
71;22.309.357;D010614;22309357/2;31.500;08/02/24
71;22.309.357;D010879;22309357/7;26.000;16/04/24
71;22.309.357;D010879;22309357/8;26.000;13/05/24
71;22.309.357;D010879;22309357/5;26.000;14/02/24
71;22.309.357;D010879;22309357/4;26.000;16/01/24
71;22.309.357;D010614;22309357/1;31.500;11/01/24
71;22.309.357;D010879;22309357/6;26.000;19/03/24
71;22.309.358;D010602;22309358/3;40.000;12/02/24
71;22.309.361;D010880;22309361/6;26.000;17/05/24
71;22.309.361;D010880;22309361/4;26.000;14/03/24
71;22.309.361;D010880;22309361/2;26.000;15/01/24
71;22.309.361;D010880;22309361/3;26.000;15/02/24
71;22.309.361;D010880;22309361/5;26.000;15/04/24
71;22.309.361;D009382;22309361/7;18.000;08/01/24
71;22.309.362;D005288;22309362/1;31.500;15/02/24
71;22.309.363;D009772;22309363/5;26.000;09/01/24
71;22.309.363;D009381;22309363/4;19.000;09/01/24
71;22.309.363;D008908;22309363/3;13.500;16/01/24
71;22.309.363;D009802;22309363/6;19.500;02/02/24
71;22.309.365;D008909;22309365/2;13.500;12/01/24
71;22.309.365;D009803;22309365/3;19.500;01/02/24
71;22.309.394;E000612;22309394/2;96.000;25/01/24
71;22.309.394;E000612;22309394/1;96.000;25/01/24
71;22.309.395;E001511;22309395/2;18.000;09/01/24
71;22.309.396;E000129;22309396/1;1.000;05/02/24
71;22.309.397;E001340;22309397/1;500;26/01/24
71;22.309.401;D009567;22309401/3;14.750;08/01/24
71;22.309.401;D009569;22309401/4;57.000;09/01/24
71;22.309.402;D004795;22309402/2;2.000;08/02/24
71;22.309.402;D003007;22309402/4;3.000;19/01/24
71;22.309.402;D009217;22309402/3;500;08/01/24
71;22.309.403;D009570;22309403/4;56.500;08/01/24
71;22.309.403;D009568;22309403/3;14.750;08/01/24
71;22.309.426;F000669;22309426/1;400;09/01/24
71;22.309.427;F002792;22309427/6;2;24/01/24
71;22.309.427;F003469;22309427/1;10;24/01/24
71;22.309.427;F001245;22309427/5;2;24/01/24
71;22.309.427;F003472;22309427/3;8;24/01/24
71;22.309.427;F003470;22309427/2;8;24/01/24
71;22.309.428;F003471;22309428/1;34;20/02/24
71;22.309.428;F002578;22309428/2;100;19/01/24
71;22.309.430;F001134;22309430/1;525;25/01/24
71;22.309.432;F001699;22309432/1;340;18/01/24
71;22.309.434;F002646;22309434/1;10;24/01/24
71;22.309.438;F002175;22309438/1;1.000;12/01/24
71;22.309.457;F000716;22309457/1;300;24/01/24
71;22.309.460;F002093;22309460/1;500;06/02/24
71;22.309.489;E004113;22309489/1;10.000;22/01/24
71;22.309.497;D007347;22309497/3;20.000;26/01/24
71;22.309.497;D002374;22309497/2;400;05/02/24
71;22.309.497;D001775;22309497/1;3.000;10/01/24
71;22.309.498;E003590;22309498/1;2.000;02/02/24
71;22.309.500;D006632;22309500/2;61.000;05/01/24
71;22.309.501;D003277;22309501/1;4.000;12/02/24
71;22.309.505;D006839;22309505/3;8.000;08/01/24
71;22.309.505;D009636;22309505/6;55.400;01/02/24
71;22.309.505;D006633;22309505/2;61.000;08/01/24
71;22.309.506;D008948;22309506/1;7.500;08/01/24
71;22.309.506;D009913;22309506/3;10.500;08/02/24
71;22.309.506;D009692;22309506/2;11.000;08/02/24
71;22.309.514;E002208;22309514/1;144.000;14/02/24
71;22.309.516;E004491;22309516/1;900;05/02/24
71;22.309.519;D009693;22309519/1;10.500;08/02/24
71;22.309.519;D009914;22309519/2;11.000;08/02/24
71;22.309.520;E003874;22309520/1;25.000;15/02/24
71;22.309.521;E002171;22309521/4;14.850;02/02/24
71;22.309.521;E003630;22309521/3;13.440;02/02/24
71;22.309.527;F000815;22309527/1;500;08/01/24
71;22.309.528;F001934;22309528/1;5;12/01/24
71;22.309.530;F002163;22309530/1;2.000;08/02/24
71;22.309.558;D007452;22309558/1;500;19/01/24
71;22.309.568;F003878;22309568/1;350;13/03/24
71;22.309.587;F000010;22309587/1;200;10/01/24
71;22.309.597;E003613;22309597/1;1.000;14/02/24
71;22.309.602;F001466;22309602/1;8;23/01/24
71;22.309.612;E004045;22309612/1;110;31/01/24
71;22.309.613;E004269;22309613/1;50.000;15/02/24
71;22.309.614;D004700;22309614/3;39.000;12/02/24
71;22.309.616;D004701;22309616/6;37.500;09/02/24
71;22.309.616;D003929;22309616/4;9.000;01/02/24
71;22.309.619;D003927;22309619/1;15.000;26/01/24
71;22.309.620;D003928;22309620/1;9.000;05/02/24
71;22.309.630;E004493;22309630/1;27.500;06/03/24
71;22.309.646;F002761;22309646/1;21.000;31/01/24
71;22.309.648;F000632;22309648/1;200;18/01/24
71;22.309.660;F002969;22309660/1;20;11/01/24
71;22.309.661;F002976;22309661/1;25;11/01/24
71;22.309.668;F000760;22309668/1;20;11/01/24
71;22.309.669;F003397;22309669/1;150;16/01/24
71;22.309.674;F002775;22309674/2;100;19/01/24
71;22.309.714;D006121;22309714/5;28.000;09/01/24
71;22.309.714;D004451;22309714/4;1.800;02/02/24
71;22.309.714;D006471;22309714/6;49.000;10/01/24
71;22.309.714;D004376;22309714/3;22.000;22/01/24
71;22.309.715;D004377;22309715/2;22.000;26/01/24
71;22.309.715;D006122;22309715/3;28.000;08/01/24
71;22.309.718;D006472;22309718/2;47.000;10/01/24
71;22.309.718;D008551;22309718/5;10.000;10/01/24
71;22.309.718;D008677;22309718/6;25.000;15/02/24
71;22.309.718;D007076;22309718/4;52.000;15/02/24
71;22.309.725;D006063;22309725/2;96.000;15/01/24
71;22.309.725;D006063;22309725/3;33.000;12/02/24
71;22.309.725;D006062;22309725/1;9.000;15/01/24
71;22.309.732;D008676;22309732/4;26.000;15/02/24
71;22.309.732;D008550;22309732/3;11.000;16/01/24
71;22.309.733;D008666;22309733/1;6.500;11/01/24
71;22.309.734;D008552;22309734/1;8.500;11/01/24
71;22.309.738;D007077;22309738/1;62.000;09/02/24
71;22.309.746;E002353;22309746/1;25.000;18/01/24
71;22.309.748;E000093;22309748/1;3.000;02/02/24
71;22.309.749;E002231;22309749/1;10.368;19/01/24
71;22.309.749;E002315;22309749/3;2.880;12/01/24
71;22.309.749;E002269;22309749/2;80.640;12/01/24
71;22.309.750;E002409;22309750/1;1.200;16/02/24
71;22.309.754;E004396;22309754/1;1.000;22/01/24
71;22.309.761;F001966;22309761/2;10;12/01/24
71;22.309.771;F003194;22309771/1;3.000;24/01/24
71;22.309.772;F003220;22309772/1;60;26/01/24
71;22.309.773;F003221;22309773/1;25;24/01/24
71;22.309.774;F003501;22309774/1;110;20/02/24
71;22.309.775;F001789;22309775/2;14.000;15/05/24
71;22.309.782;E003847;22309782/2;200;29/01/24
71;22.309.783;D008794;22309783/1;18.500;12/01/24
71;22.309.784;D008795;22309784/1;19.000;10/01/24
71;22.309.785;F000005;22309785/1;2;16/01/24
71;22.309.802;F003762;22309802/3;850;24/01/24
71;22.309.804;F002356;22309804/2;200;06/02/24
71;22.309.809;B004427;22309809/1;1.200;31/01/24
71;22.309.813;E004455;22309813/1;400;02/02/24
71;22.309.820;D011361;22309820/6;21.000;05/02/24
71;22.309.820;D009628;22309820/2;11.000;13/02/24
71;22.309.822;E004128;22309822/1;57.000;31/01/24
71;22.309.824;E004455;22309824/1;400;12/01/24
71;22.309.827;D011285;22309827/3;82.000;12/01/24
71;22.309.827;D011137;22309827/1;45.000;08/01/24
71;22.309.827;D011150;22309827/2;59.000;15/01/24
71;22.309.827;D011285;22309827/4;82.000;12/02/24
71;22.309.828;D011430;22309828/4;55.700;05/02/24
71;22.309.828;D011323;22309828/1;8.200;17/01/24
71;22.309.828;D011486;22309828/3;20.500;05/02/24
71;22.309.829;D011487;22309829/2;20.000;01/02/24
71;22.309.833;D009771;22309833/3;22.000;09/01/24
71;22.309.846;F002355;22309846/1;140;06/02/24
71;22.309.847;D008714;22309847/4;12.000;02/02/24
71;22.309.847;D008712;22309847/3;10.750;22/01/24
71;22.309.849;D008713;22309849/2;7.500;24/01/24
71;22.309.849;D008715;22309849/3;12.000;01/02/24
71;22.309.875;E003918;22309875/5;200;11/01/24
71;22.309.875;E003507;22309875/2;700;11/01/24
71;22.309.875;E003508;22309875/3;750;11/01/24
71;22.309.875;E003122;22309875/1;500;08/03/24
71;22.309.877;D002989;22309877/1;4.000;06/02/24
71;22.309.878;D011129;22309878/1;21.000;14/03/24
71;22.309.879;D011140;22309879/2;9.000;01/02/24
71;22.309.879;D011130;22309879/1;21.000;14/03/24
71;22.309.879;D011142;22309879/3;8.700;01/02/24
71;22.309.880;D011141;22309880/2;8.700;02/02/24
71;22.309.880;D011139;22309880/1;9.000;05/02/24
71;22.309.899;F002629;22309899/1;120;19/01/24
71;22.309.900;F002632;22309900/1;175;16/01/24
71;22.309.902;F002712;22309902/1;66;16/02/24
