PLANT;PN;DESC;CLASS;MOB;UM;FAMILY;DEPT;WOCE;BOMLEV
71;F000037;DESC PN F000037;06;BUY;KG;****;****;****;2
71;F000038;DESC PN F000038;06;BUY;KG;****;****;****;3
71;F000039;DESC PN F000039;06;BUY;KG;MPSO;****;****;3
71;F000040;DESC PN F000040;06;BUY;KG;MPSO;****;****;2
71;F000041;DESC PN F000041;06;BUY;KG;****;****;****;2
71;F000042;DESC PN F000042;06;BUY;KG;****;****;****;2
71;F000044;DESC PN F000044;06;BUY;KG;****;****;****;3
71;F000045;DESC PN F000045;06;BUY;KG;MPSO;****;****;5
71;F000046;DESC PN F000046;08;BUY;KG;****;****;****;4
71;F000047;DESC PN F000047;08;BUY;KG;MPSO;****;****;5
71;F000048;DESC PN F000048;08;BUY;KG;****;****;****;5
71;F000049;DESC PN F000049;08;BUY;KG;MPSO;****;****;3
71;F000050;DESC PN F000050;08;BUY;KG;****;****;****;3
71;F000052;DESC PN F000052;08;BUY;KG;****;****;****;3
71;F000053;DESC PN F000053;06;BUY;KG;MPSO;****;****;7
71;F000054;DESC PN F000054;08;BUY;KG;MPSO;****;****;6
71;F000055;DESC PN F000055;06;BUY;KG;****;****;****;3
71;F000056;DESC PN F000056;06;BUY;KG;MPSO;****;****;3
71;F000057;DESC PN F000057;06;BUY;KG;MPSO;****;****;5
71;F000059;DESC PN F000059;06;BUY;KG;****;****;****;3
71;F000060;DESC PN F000060;08;BUY;KG;****;****;****;4
71;F000061;DESC PN F000061;08;BUY;KG;MPSO;****;****;6
71;F000062;DESC PN F000062;08;BUY;KG;****;****;****;4
71;F000063;DESC PN F000063;06;BUY;KG;MPSO;****;****;3
71;F000064;DESC PN F000064;08;BUY;KG;MPSO;****;****;8
71;F000065;DESC PN F000065;06;BUY;KG;MPSO;****;****;5
71;F000066;DESC PN F000066;06;BUY;KG;****;****;****;4
71;F000067;DESC PN F000067;08;BUY;KG;MPSO;****;****;5
71;F000069;DESC PN F000069;08;BUY;KG;MPSO;****;****;6
71;F000070;DESC PN F000070;08;BUY;KG;MPSO;****;****;3
71;F000071;DESC PN F000071;08;BUY;KG;MPSO;****;****;5
71;F000072;DESC PN F000072;08;BUY;KG;****;****;****;3
71;F000074;DESC PN F000074;08;BUY;KG;MPSO;****;****;5
71;F000075;DESC PN F000075;06;BUY;KG;MPSO;****;****;5
71;F000076;DESC PN F000076;08;BUY;KG;MPSO;****;****;3
71;F000077;DESC PN F000077;06;BUY;KG;****;****;****;4
71;F000078;DESC PN F000078;06;BUY;KG;MPSO;****;****;5
71;F000079;DESC PN F000079;06;BUY;KG;MPSO;****;****;3
71;F000081;DESC PN F000081;06;BUY;KG;MPSO;****;****;4
71;F000082;DESC PN F000082;06;BUY;KG;****;****;****;4
71;F000083;DESC PN F000083;08;BUY;KG;MPSO;****;****;6
71;F000084;DESC PN F000084;06;BUY;KG;****;****;****;4
71;F000085;DESC PN F000085;06;BUY;KG;****;****;****;3
71;F000086;DESC PN F000086;08;BUY;KG;MPSO;****;****;5
71;F000087;DESC PN F000087;06;BUY;KG;****;****;****;5
71;F000089;DESC PN F000089;06;BUY;KG;MPSO;****;****;6
71;F000090;DESC PN F000090;08;BUY;KG;MPSO;****;****;5
71;F000091;DESC PN F000091;08;BUY;KG;MPSO;****;****;6
71;F000092;DESC PN F000092;08;BUY;KG;****;****;****;4
71;F000093;DESC PN F000093;08;BUY;KG;MPSO;****;****;7
71;F000095;DESC PN F000095;06;BUY;KG;****;****;****;4
71;F000096;DESC PN F000096;08;BUY;KG;****;****;****;3
71;F000097;DESC PN F000097;06;BUY;KG;MPSO;****;****;4
71;F000098;DESC PN F000098;08;BUY;KG;MPSO;****;****;8
71;F000099;DESC PN F000099;06;BUY;KG;MPSO;****;****;6
71;F000100;DESC PN F000100;06;BUY;KG;****;****;****;2
71;F000101;DESC PN F000101;08;BUY;KG;MPSO;****;****;6
71;F000102;DESC PN F000102;06;BUY;KG;MPSO;****;****;4
71;F000103;DESC PN F000103;08;BUY;KG;MPSO;****;****;3
71;F000104;DESC PN F000104;06;BUY;KG;****;****;****;6
71;F000105;DESC PN F000105;06;BUY;KG;MPSO;****;****;6
71;F000106;DESC PN F000106;08;BUY;KG;MPSO;****;****;4
71;F000107;DESC PN F000107;08;BUY;KG;****;****;****;3
71;F000108;DESC PN F000108;06;BUY;KG;****;****;****;3
71;F000109;DESC PN F000109;08;BUY;KG;****;****;****;3
71;F000110;DESC PN F000110;08;BUY;KG;MPSO;****;****;6
71;F000111;DESC PN F000111;08;BUY;KG;MPSO;****;****;6
71;F000112;DESC PN F000112;06;BUY;KG;****;****;****;5
71;F000114;DESC PN F000114;08;BUY;KG;****;****;****;3
71;F000115;DESC PN F000115;08;BUY;KG;****;****;****;5
71;F000116;DESC PN F000116;08;BUY;KG;MPSO;****;****;5
71;F000117;DESC PN F000117;08;BUY;KG;****;****;****;5
71;F000118;DESC PN F000118;08;BUY;KG;MPSO;****;****;5
71;F000120;DESC PN F000120;06;BUY;KG;MPSO;****;****;6
71;F000121;DESC PN F000121;06;BUY;KG;MPSO;****;****;6
71;F000122;DESC PN F000122;08;BUY;KG;****;****;****;3
71;F000123;DESC PN F000123;08;BUY;KG;****;****;****;3
71;F000124;DESC PN F000124;06;BUY;KG;****;****;****;4
71;F000126;DESC PN F000126;06;BUY;KG;MPSO;****;****;5
71;F000127;DESC PN F000127;06;BUY;KG;****;****;****;3
71;F000128;DESC PN F000128;08;BUY;KG;****;****;****;3
71;F000129;DESC PN F000129;08;BUY;KG;****;****;****;4
71;F000133;DESC PN F000133;08;BUY;KG;MPSO;****;****;5
71;F000134;DESC PN F000134;06;BUY;KG;****;****;****;3
71;F000135;DESC PN F000135;08;BUY;KG;MPSO;****;****;4
71;F000136;DESC PN F000136;06;BUY;KG;MPSO;****;****;4
71;F000137;DESC PN F000137;06;BUY;KG;MPSO;****;****;5
71;F000138;DESC PN F000138;06;BUY;KG;MPSO;****;****;6
71;F000139;DESC PN F000139;06;BUY;KG;MPSO;****;****;7
71;F000140;DESC PN F000140;08;BUY;KG;MPSO;****;****;5
71;F000142;DESC PN F000142;08;BUY;KG;MPSO;****;****;6
71;F000143;DESC PN F000143;08;BUY;KG;****;****;****;3
71;F000144;DESC PN F000144;08;BUY;KG;MPSO;****;****;5
71;F000145;DESC PN F000145;08;BUY;KG;****;****;****;2
71;F000147;DESC PN F000147;06;BUY;KG;****;****;****;3
71;F000149;DESC PN F000149;08;BUY;KG;MPSO;****;****;4
71;F000150;DESC PN F000150;08;BUY;KG;MPSO;****;****;5
71;F000151;DESC PN F000151;08;BUY;KG;****;****;****;4
71;F000152;DESC PN F000152;08;BUY;KG;****;****;****;4
71;F000154;DESC PN F000154;08;BUY;KG;MPSO;****;****;5
71;F000155;DESC PN F000155;08;BUY;KG;MPSO;****;****;4
71;F000156;DESC PN F000156;08;BUY;KG;MPSO;****;****;6
71;F000157;DESC PN F000157;08;BUY;KG;****;****;****;3
71;F000159;DESC PN F000159;08;BUY;KG;MPSO;****;****;5
71;F000160;DESC PN F000160;08;BUY;KG;****;****;****;3
71;F000163;DESC PN F000163;08;BUY;KG;MPSO;****;****;6
71;F000164;DESC PN F000164;08;BUY;KG;MPSO;****;****;7
71;F000165;DESC PN F000165;08;BUY;KG;****;****;****;4
71;F000166;DESC PN F000166;08;BUY;KG;MPSO;****;****;7
71;F000168;DESC PN F000168;08;BUY;KG;****;****;****;4
71;F000169;DESC PN F000169;08;BUY;KG;MPSO;****;****;6
71;F000171;DESC PN F000171;06;BUY;KG;****;****;****;3
71;F000172;DESC PN F000172;06;BUY;KG;MPSO;****;****;4
71;F000173;DESC PN F000173;08;BUY;KG;****;****;****;4
71;F000174;DESC PN F000174;08;BUY;KG;****;****;****;4
71;F000176;DESC PN F000176;08;BUY;KG;****;****;****;4
71;F000177;DESC PN F000177;08;BUY;KG;****;****;****;2
71;F000178;DESC PN F000178;06;BUY;KG;****;****;****;2
71;F000179;DESC PN F000179;06;BUY;KG;****;****;****;4
71;F000180;DESC PN F000180;06;BUY;KG;MPSO;****;****;6
71;F000181;DESC PN F000181;06;BUY;KG;****;****;****;3
71;F000182;DESC PN F000182;08;BUY;KG;MPSO;****;****;3
71;F000183;DESC PN F000183;06;BUY;KG;****;****;****;3
71;F000184;DESC PN F000184;06;BUY;KG;****;****;****;4
71;F000185;DESC PN F000185;06;BUY;KG;****;****;****;2
71;F000186;DESC PN F000186;08;BUY;KG;****;****;****;4
71;F000187;DESC PN F000187;06;BUY;KG;MPSO;****;****;7
71;F000188;DESC PN F000188;06;BUY;KG;****;****;****;5
71;F000189;DESC PN F000189;06;BUY;KG;****;****;****;3
71;F000190;DESC PN F000190;08;BUY;KG;MPSO;****;****;6
71;F000191;DESC PN F000191;06;BUY;KG;****;****;****;3
71;F000192;DESC PN F000192;06;BUY;KG;****;****;****;3
71;F000193;DESC PN F000193;06;BUY;KG;****;****;****;3
71;F000194;DESC PN F000194;08;BUY;KG;MPSO;****;****;5
71;F000195;DESC PN F000195;08;BUY;KG;****;****;****;3
71;F000196;DESC PN F000196;08;BUY;KG;MPSO;****;****;4
71;F000197;DESC PN F000197;08;BUY;KG;****;****;****;4
71;F000198;DESC PN F000198;08;BUY;KG;MPSO;****;****;5
71;F000199;DESC PN F000199;08;BUY;KG;****;****;****;4
71;F000200;DESC PN F000200;08;BUY;KG;MPSO;****;****;6
71;F000201;DESC PN F000201;08;BUY;KG;****;****;****;3
71;F000202;DESC PN F000202;06;BUY;KG;****;****;****;4
71;F000203;DESC PN F000203;06;BUY;KG;****;****;****;2
71;F000204;DESC PN F000204;06;BUY;KG;MPSO;****;****;7
71;F000205;DESC PN F000205;08;BUY;KG;MPSO;****;****;6
71;F000206;DESC PN F000206;06;BUY;KG;MPSO;****;****;7
71;F000207;DESC PN F000207;06;BUY;KG;MPSO;****;****;6
71;F000208;DESC PN F000208;06;BUY;KG;****;****;****;3
71;F000209;DESC PN F000209;08;BUY;KG;MPSO;****;****;5
71;F000210;DESC PN F000210;08;BUY;KG;MPSO;****;****;5
71;F000211;DESC PN F000211;06;BUY;KG;MPSO;****;****;7
71;F000212;DESC PN F000212;06;BUY;KG;MPSO;****;****;6
71;F000213;DESC PN F000213;06;BUY;KG;MPSO;****;****;7
71;F000214;DESC PN F000214;06;BUY;KG;MPSO;****;****;7
71;F000216;DESC PN F000216;06;BUY;KG;****;****;****;3
71;F000217;DESC PN F000217;06;BUY;KG;MPSO;****;****;5
71;F000218;DESC PN F000218;06;BUY;KG;MPSO;****;****;3
71;F000219;DESC PN F000219;06;BUY;KG;****;****;****;3
71;F000220;DESC PN F000220;08;BUY;KG;****;****;****;5
71;F000221;DESC PN F000221;08;BUY;KG;MPSO;****;****;3
71;F000222;DESC PN F000222;06;BUY;KG;****;****;****;3
71;F000223;DESC PN F000223;06;BUY;KG;****;****;****;3
71;F000224;DESC PN F000224;06;BUY;KG;****;****;****;3
71;F000225;DESC PN F000225;06;BUY;KG;****;****;****;3
71;F000226;DESC PN F000226;08;BUY;KG;MPSO;****;****;6
71;F000227;DESC PN F000227;08;BUY;KG;MPSO;****;****;7
71;F000228;DESC PN F000228;06;BUY;KG;MPSO;****;****;5
71;F000230;DESC PN F000230;06;BUY;KG;****;****;****;3
71;F000231;DESC PN F000231;06;BUY;KG;MPSO;****;****;4
71;F000232;DESC PN F000232;08;BUY;KG;****;****;****;3
71;F000234;DESC PN F000234;06;BUY;KG;****;****;****;3
71;F000235;DESC PN F000235;06;BUY;KG;MPSO;****;****;2
71;F000236;DESC PN F000236;08;BUY;KG;****;****;****;4
71;F000238;DESC PN F000238;08;BUY;KG;MPSO;****;****;6
71;F000239;DESC PN F000239;08;BUY;KG;MPSO;****;****;6
71;F000240;DESC PN F000240;08;BUY;KG;MPSO;****;****;6
71;F000241;DESC PN F000241;08;BUY;KG;MPSO;****;****;7
71;F000242;DESC PN F000242;06;BUY;KG;MPSO;****;****;8
71;F000243;DESC PN F000243;08;BUY;KG;MPSO;****;****;4
71;F000244;DESC PN F000244;08;BUY;KG;****;****;****;3
71;F000245;DESC PN F000245;06;BUY;KG;****;****;****;4
71;F000246;DESC PN F000246;08;BUY;KG;****;****;****;6
71;F000248;DESC PN F000248;06;BUY;KG;****;****;****;3
71;F000249;DESC PN F000249;08;BUY;KG;****;****;****;5
71;F000250;DESC PN F000250;08;BUY;KG;MPSO;****;****;8
71;F000251;DESC PN F000251;08;BUY;KG;MPSO;****;****;6
71;F000253;DESC PN F000253;06;BUY;KG;****;****;****;3
71;F000254;DESC PN F000254;06;BUY;KG;****;****;****;3
71;F000255;DESC PN F000255;06;BUY;KG;****;****;****;2
71;F000256;DESC PN F000256;06;BUY;KG;MPSO;****;****;6
71;F000257;DESC PN F000257;08;BUY;KG;****;****;****;3
71;F000258;DESC PN F000258;08;BUY;KG;MPSO;****;****;6
71;F000259;DESC PN F000259;06;BUY;KG;MPSO;****;****;5
71;F000261;DESC PN F000261;06;BUY;KG;MPSO;****;****;6
71;F000262;DESC PN F000262;06;BUY;KG;MPSO;****;****;5
71;F000263;DESC PN F000263;06;BUY;KG;****;****;****;3
71;F000264;DESC PN F000264;08;BUY;KG;MPSO;****;****;5
71;F000265;DESC PN F000265;06;BUY;KG;MPSO;****;****;3
71;F000267;DESC PN F000267;06;BUY;KG;****;****;****;4
71;F000268;DESC PN F000268;08;BUY;KG;MPSO;****;****;5
71;F000269;DESC PN F000269;08;BUY;KG;****;****;****;4
71;F000270;DESC PN F000270;08;BUY;KG;MPSO;****;****;4
71;F000271;DESC PN F000271;08;BUY;KG;MPSO;****;****;4
71;F000272;DESC PN F000272;08;BUY;KG;MPSO;****;****;4
71;F000274;DESC PN F000274;06;BUY;KG;MPSO;****;****;4
71;F000275;DESC PN F000275;08;BUY;KG;****;****;****;5
71;F000276;DESC PN F000276;08;BUY;KG;****;****;****;5
71;F000278;DESC PN F000278;06;BUY;KG;****;****;****;4
71;F000279;DESC PN F000279;06;BUY;KG;MPSO;****;****;6
71;F000280;DESC PN F000280;06;BUY;KG;****;****;****;3
71;F000281;DESC PN F000281;08;BUY;KG;MPSO;****;****;5
71;F000282;DESC PN F000282;08;BUY;KG;MPSO;****;****;4
71;F000283;DESC PN F000283;08;BUY;KG;****;****;****;4
71;F000284;DESC PN F000284;06;BUY;KG;MPSO;****;****;5
71;F000285;DESC PN F000285;06;BUY;KG;MPSO;****;****;7
71;F000286;DESC PN F000286;06;BUY;KG;****;****;****;7
71;F000287;DESC PN F000287;06;BUY;KG;****;****;****;3
71;F000288;DESC PN F000288;06;BUY;KG;MPSO;****;****;3
71;F000289;DESC PN F000289;06;BUY;KG;MPSO;****;****;6
71;F000290;DESC PN F000290;08;BUY;KG;MPSO;****;****;4
71;F000291;DESC PN F000291;08;BUY;KG;MPSO;****;****;3
71;F000293;DESC PN F000293;08;BUY;KG;MPSO;****;****;6
71;F000294;DESC PN F000294;08;BUY;KG;MPSO;****;****;5
71;F000295;DESC PN F000295;06;BUY;KG;****;****;****;3
71;F000296;DESC PN F000296;08;BUY;KG;MPSO;****;****;6
71;F000297;DESC PN F000297;08;BUY;KG;MPSO;****;****;3
71;F000298;DESC PN F000298;08;BUY;KG;MPSO;****;****;6
71;F000299;DESC PN F000299;08;BUY;KG;MPSO;****;****;8
71;F000300;DESC PN F000300;08;BUY;KG;MPSO;****;****;6
71;F000301;DESC PN F000301;08;BUY;KG;MPSO;****;****;8
71;F000302;DESC PN F000302;08;BUY;KG;****;****;****;1
71;F000303;DESC PN F000303;08;BUY;KG;MPSO;****;****;8
71;F000304;DESC PN F000304;08;BUY;KG;MPSO;****;****;6
71;F000305;DESC PN F000305;08;BUY;KG;MPSO;****;****;8
71;F000306;DESC PN F000306;08;BUY;KG;MPSO;****;****;8
71;F000307;DESC PN F000307;08;BUY;KG;MPSO;****;****;6
71;F000308;DESC PN F000308;08;BUY;KG;****;****;****;3
71;F000309;DESC PN F000309;08;BUY;KG;MPSO;****;****;8
71;F000310;DESC PN F000310;08;BUY;KG;MPSO;****;****;6
71;F000311;DESC PN F000311;08;BUY;KG;MPSO;****;****;6
71;F000312;DESC PN F000312;08;BUY;KG;MPSO;****;****;6
71;F000313;DESC PN F000313;08;BUY;KG;MPSO;****;****;8
71;F000314;DESC PN F000314;08;BUY;KG;MPSO;****;****;6
71;F000315;DESC PN F000315;08;BUY;KG;MPSO;****;****;6
71;F000316;DESC PN F000316;06;BUY;KG;****;****;****;3
71;F000317;DESC PN F000317;06;BUY;KG;MPSO;****;****;4
71;F000318;DESC PN F000318;08;BUY;KG;MPSO;****;****;3
71;F000319;DESC PN F000319;06;BUY;KG;****;****;****;3
71;F000320;DESC PN F000320;08;BUY;KG;****;****;****;4
71;F000321;DESC PN F000321;08;BUY;KG;****;****;****;6
71;F000322;DESC PN F000322;08;BUY;KG;MPSO;****;****;8
71;F000323;DESC PN F000323;08;BUY;KG;MPSO;****;****;5
71;F000324;DESC PN F000324;08;BUY;KG;MPSO;****;****;5
71;F000325;DESC PN F000325;08;BUY;KG;MPSO;****;****;7
71;F000326;DESC PN F000326;08;BUY;KG;MPSO;****;****;6
71;F000327;DESC PN F000327;06;BUY;KG;MPSO;****;****;6
71;F000328;DESC PN F000328;08;OTH;KG;****;****;;3
71;F000331;DESC PN F000331;08;OTH;KG;****;****;****;3
71;F000332;DESC PN F000332;08;OTH;KG;****;;;3
71;F000333;DESC PN F000333;08;OTH;KG;****;;;2
71;F000334;DESC PN F000334;08;OTH;KG;****;;;2
71;F000335;DESC PN F000335;08;OTH;KG;****;;;2
71;F000343;DESC PN F000343;06;OTH;KG;****;;;2
71;F000346;DESC PN F000346;06;OTH;KG;****;;;2
71;F000347;DESC PN F000347;08;OTH;KG;****;;;3
71;F000353;DESC PN F000353;08;OTH;KG;MPSO;****;****;4
71;F000367;DESC PN F000367;08;OTH;KG;****;****;;3
71;F000369;DESC PN F000369;06;OTH;KG;****;****;;3
71;F000374;DESC PN F000374;06;OTH;KG;****;;;3
71;F000376;DESC PN F000376;06;OTH;KG;****;;;3
71;F000377;DESC PN F000377;08;OTH;KG;****;;;3
71;F000381;DESC PN F000381;06;OTH;KG;****;;;3
71;F000387;DESC PN F000387;08;OTH;KG;****;;;3
71;F000388;DESC PN F000388;08;OTH;KG;****;;;5
71;F000389;DESC PN F000389;08;OTH;KG;****;;;3
71;F000390;DESC PN F000390;08;OTH;KG;****;;;3
71;F000402;DESC PN F000402;06;OTH;KG;MPSO;****;;3
71;F000403;DESC PN F000403;06;OTH;KG;MPSO;****;;3
71;F000407;DESC PN F000407;06;OTH;KG;****;****;;2
71;F000408;DESC PN F000408;06;OTH;KG;MPSO;****;;3
71;F000409;DESC PN F000409;08;OTH;KG;MPSO;****;;3
71;F000410;DESC PN F000410;06;OTH;KG;MPSO;****;;3
71;F000412;DESC PN F000412;08;OTH;KG;MPSO;****;****;3
71;F000413;DESC PN F000413;06;OTH;KG;MPSO;****;;3
71;F000414;DESC PN F000414;08;OTH;KG;MPSO;****;****;6
71;F000415;DESC PN F000415;08;OTH;KG;MPSO;****;;4
71;F000416;DESC PN F000416;06;OTH;KG;MPSO;****;;3
71;F000418;DESC PN F000418;06;OTH;KG;****;;;3
71;F000420;DESC PN F000420;08;OTH;KG;****;;;3
71;F000423;DESC PN F000423;08;OTH;KG;****;;;3
71;F000424;DESC PN F000424;08;OTH;KG;****;;;3
71;F000426;DESC PN F000426;08;OTH;KG;****;;;3
71;F000428;DESC PN F000428;08;OTH;KG;****;;;3
71;F000429;DESC PN F000429;08;OTH;KG;****;;;6
71;F000430;DESC PN F000430;08;OTH;KG;****;;;4
71;F000431;DESC PN F000431;08;OTH;KG;****;;;4
71;F000432;DESC PN F000432;08;OTH;KG;****;;;4
71;F000433;DESC PN F000433;08;OTH;KG;****;;;4
71;F000434;DESC PN F000434;08;OTH;KG;****;;;4
71;F000435;DESC PN F000435;08;OTH;KG;****;;;4
71;F000436;DESC PN F000436;08;OTH;KG;****;;;4
71;F000437;DESC PN F000437;08;OTH;KG;****;;;4
71;F000438;DESC PN F000438;08;OTH;KG;****;;;4
71;F000439;DESC PN F000439;08;OTH;KG;****;;;4
71;F000440;DESC PN F000440;08;OTH;KG;****;;;4
71;F000443;DESC PN F000443;08;OTH;KG;****;;;2
71;F000444;DESC PN F000444;06;OTH;KG;****;;;2
71;F000445;DESC PN F000445;06;OTH;KG;****;;;2
71;F000446;DESC PN F000446;06;OTH;KG;****;;;2
71;F000448;DESC PN F000448;06;OTH;KG;****;;;2
71;F000451;DESC PN F000451;06;OTH;KG;****;;;2
71;F000452;DESC PN F000452;08;BUY;KG;MPSO;****;****;5
71;F000453;DESC PN F000453;06;BUY;KG;****;****;****;3
71;F000454;DESC PN F000454;08;BUY;KG;****;****;****;3
71;F000455;DESC PN F000455;06;BUY;KG;****;****;****;3
71;F000456;DESC PN F000456;06;BUY;KG;MPSO;****;****;6
71;F000457;DESC PN F000457;08;OTH;KG;****;****;****;3
71;F000459;DESC PN F000459;06;OTH;KG;****;;;2
71;F000460;DESC PN F000460;06;OTH;KG;****;;;2
71;F000461;DESC PN F000461;06;BUY;KG;****;****;****;1
71;F000462;DESC PN F000462;06;BUY;KG;****;****;****;5
71;F000463;DESC PN F000463;08;BUY;KG;MPSO;****;****;6
71;F000465;DESC PN F000465;08;BUY;KG;MPSO;****;****;6
71;F000466;DESC PN F000466;08;BUY;KG;****;****;****;2
71;F000468;DESC PN F000468;08;OTH;KG;****;;;2
71;F000469;DESC PN F000469;06;BUY;KG;MPSO;****;****;7
71;F000470;DESC PN F000470;06;BUY;KG;MPSO;****;****;7
71;F000471;DESC PN F000471;08;BUY;KG;MPSO;****;****;4
71;F000472;DESC PN F000472;08;BUY;KG;****;****;****;3
71;F000473;DESC PN F000473;06;BUY;KG;****;****;****;3
71;F000474;DESC PN F000474;06;BUY;KG;****;****;****;3
71;F000475;DESC PN F000475;06;BUY;KG;MPSO;****;****;6
71;F000476;DESC PN F000476;06;BUY;KG;****;****;****;1
71;F000478;DESC PN F000478;06;BUY;KG;****;****;****;3
71;F000480;DESC PN F000480;06;BUY;KG;MPSO;****;****;5
71;F000482;DESC PN F000482;06;OTH;KG;****;;;2
71;F000483;DESC PN F000483;06;OTH;KG;****;****;;2
71;F000484;DESC PN F000484;08;OTH;KG;****;;;2
71;F000485;DESC PN F000485;08;BUY;KG;MPSO;****;****;6
71;F000487;DESC PN F000487;06;BUY;KG;****;****;****;5
71;F000488;DESC PN F000488;08;OTH;NR;****;;;3
71;F000489;DESC PN F000489;08;OTH;NR;****;;;3
71;F000491;DESC PN F000491;06;MAKE;LT;MPSO;****;****;8
71;F000492;DESC PN F000492;06;OTH;KG;****;;;2
71;F000494;DESC PN F000494;06;BUY;KG;MPSO;****;****;5
71;F000495;DESC PN F000495;06;BUY;KG;****;****;****;4
71;F000498;DESC PN F000498;08;OTH;KG;****;;;3
71;F000499;DESC PN F000499;08;OTH;KG;****;;;3
71;F000500;DESC PN F000500;08;OTH;KG;****;;;3
71;F000501;DESC PN F000501;06;OTH;KG;****;;;3
71;F000502;DESC PN F000502;06;OTH;KG;****;;;3
71;F000503;DESC PN F000503;08;OTH;KG;****;;;3
71;F000504;DESC PN F000504;08;OTH;KG;****;;;3
71;F000505;DESC PN F000505;08;OTH;KG;****;;;3
71;F000506;DESC PN F000506;08;OTH;KG;****;;;3
71;F000507;DESC PN F000507;08;OTH;KG;****;;;3
71;F000508;DESC PN F000508;06;OTH;KG;****;;;3
71;F000509;DESC PN F000509;06;OTH;KG;****;;;3
71;F000510;DESC PN F000510;06;OTH;KG;****;;;2
71;F000511;DESC PN F000511;08;BUY;KG;****;****;****;3
71;F000512;DESC PN F000512;08;BUY;KG;MPSO;****;****;4
71;F000513;DESC PN F000513;08;OTH;KG;****;;;3
71;F000514;DESC PN F000514;08;OTH;KG;****;;;3
71;F000515;DESC PN F000515;08;OTH;KG;****;;;3
71;F000516;DESC PN F000516;06;BUY;KG;MPSO;****;****;5
71;F000517;DESC PN F000517;06;BUY;KG;MPSO;****;****;6
71;F000518;DESC PN F000518;06;BUY;KG;****;****;****;2
71;F000519;DESC PN F000519;06;BUY;KG;****;****;****;3
71;F000520;DESC PN F000520;06;BUY;KG;****;****;****;2
71;F000521;DESC PN F000521;06;BUY;KG;****;****;****;3
71;F000522;DESC PN F000522;06;BUY;KG;****;****;****;2
71;F000523;DESC PN F000523;06;BUY;KG;****;****;****;3
71;F000524;DESC PN F000524;06;OTH;KG;****;;;2
71;F000525;DESC PN F000525;08;BUY;KG;****;****;****;3
71;F000526;DESC PN F000526;08;OTH;KG;****;****;****;2
71;F000527;DESC PN F000527;06;BUY;KG;****;****;****;3
71;F000528;DESC PN F000528;06;BUY;KG;****;****;****;3
71;F000529;DESC PN F000529;06;BUY;KG;MPSO;****;****;3
71;F000530;DESC PN F000530;06;BUY;KG;****;****;****;5
71;F000531;DESC PN F000531;08;BUY;KG;****;****;****;3
71;F000532;DESC PN F000532;06;OTH;KG;****;;;3
71;F000533;DESC PN F000533;06;OTH;KG;****;;;3
71;F000534;DESC PN F000534;06;OTH;KG;****;;;3
71;F000535;DESC PN F000535;06;OTH;KG;****;;;3
71;F000536;DESC PN F000536;06;BUY;KG;****;****;****;3
71;F000537;DESC PN F000537;08;BUY;KG;MPSO;****;****;7
71;F000538;DESC PN F000538;06;BUY;KG;MPSO;****;****;3
71;F000539;DESC PN F000539;08;BUY;KG;****;****;****;3
71;F000540;DESC PN F000540;08;OTH;KG;****;;;3
71;F000541;DESC PN F000541;06;OTH;KG;****;;;3
71;F000542;DESC PN F000542;06;OTH;KG;****;;;2
71;F000543;DESC PN F000543;08;OTH;KG;****;;;2
71;F000544;DESC PN F000544;06;BUY;KG;****;****;****;3
